School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio,Male to Female Ratio,Cluster (hier)
Boricua College,NY,10032-1560,11,0.4639,4368,630,0.2206,0.7794,0.5,36735,29,0.4181146603,20732,0.8936,0.1518,0.703,0.4390243902,0.097,1.0067395819,0,12617,1,0.4575402635,0.2830382345,11
Canisius College,NY,14208-1098,11,0.4047,8579,2138,0.5122,0.4878,0.8364,61812,19,0.827,38896,0.3169,0.6321,0.7058,0.7619350732,0.056,0.9464267577,1,19222,1,0.5712145332,1.0500205002,38
Cazenovia College,NY,13035,31,1,7154,806,0.2519,0.7481,0.7059,59343,21,0.9371,50533,0.4743,0.7814,0.5889,0.6566455696,0.068,0.9828780393,0,15738,1,0.6102588582,0.3367196899,13
Clarkson University,NY,13699,33,0.6981,10723,2982,0.6938,0.3062,0.8783,62331,19,0.746,67441,0.2329,0.6881,0.7645,0.8869426752,0.022,0.8458100682,0,29015,1,0.4363430763,2.2658393207,32
Colgate University,NY,13346-1398,32,0.9574,12068,2964,0.4474,0.5526,0.9485,81701,19,0.2258,72275,0.122,0.2241,0.8977,0.9075829384,0.024,0.823817671,0,25834,1,0.3321620098,0.8096272168,34
Metropolitan College of New York,NY,10006-1742,11,0.0897,10034,626,0.2987,0.7013,0.75,44959,32,0.3224,25474,0.7178,0.7722,0.27,0.2023195876,0.056,1.0659707932,0,15310,1,1.0286951814,0.4259232853,16
Columbia University in the City of New York,NY,10027,11,0.4521,19431,8221,0.5203,0.4797,0.9853,76971,23,0.0545,76907,0.2488,0.2292,0.9566,0.8051506317,0.021,0.9090149895,0,23306,1,0.5852833506,1.084636231,36
Concordia College,NY,10708-1998,21,1,6789,1250,0.1976,0.8024,0.6395,76194,26,0.9383,41489,0.3956,0.4943,0.4459,0.6,0.063,0.9691812783,0,23531,1,0.7263246112,0.2462612164,14
Cooper Union for the Advancement of Science and Art,NY,10003-7120,11,0.2455,12829,844,0.5853,0.4147,0.912,71862,19,0.1545,62111,0.2515,0.1708,0.8949,0.7272727273,0.09,0.884108,0,14118,1,0.4130299252,1.4113817217,36
Cornell University,NY,14853,13,0.9074,15574,14976,0.4614,0.5386,0.9748,80346,19,0.1085,73879,0.1683,0.3479,0.9452,0.8847763116,0.011,0.7366908005,0,40126,1,0.2921053786,0.8566654289,36
CUNY Bernard M Baruch College,NY,10010,11,0.4463,11660,15066,0.5346,0.4654,0.8906,53216,22,0.4347,14517,0.4774,0.0964,0.6933,0.7038352273,0.034,0.9617431678,0,3562,2.0653980166,0.3872735939,1.1486892995,29
CUNY Brooklyn College,NY,11210,11,0.3812,11188,13953,0.4331,0.5669,0.7998,49392,23,0.4499,13277,0.5379,0.1162,0.5596,0.5703022339,0.05,0.9942770725,0,2683,2.0685483871,0.4752770517,0.7639795378,29
College of Staten Island CUNY,NY,10314,11,0.3465,11056,11288,0.4563,0.5437,0.7448,65469,20,0.6270577011,13817,0.4891,0.1515,0.3154,0.5167173252,0.11,1.0133599941,0,5118,2.0614152203,0.5303440962,0.8392495862,29
CUNY City College,NY,10031,11,0.3889,11963,12359,0.4762,0.5238,0.8415,48071,22,0.4649,13355,0.549,0.113,0.5576,0.5749250749,0.054,0.9821268667,0,2385,2.083106267,0.506808274,0.9091256205,29
CUNY Hunter College,NY,10065,11,0.3115,11678,16081,0.355,0.645,0.8123,55390,22,0.3517,13000,0.5036,0.0957,0.567,0.6029547553,0.04,0.985945611,0,2490,2.0769439176,0.489203597,0.5503875969,29
CUNY John Jay College of Criminal Justice,NY,10019,11,0.3407,10939,13290,0.4129,0.5871,0.8018,51361,22,0.4053,13396,0.5576,0.1112,0.4894,0.5335892514,0.058,0.9972428849,0,2532,2.0642570281,0.4849181042,0.7032873446,29
CUNY Lehman College,NY,10468,11,0.37,10572,11797,0.328,0.672,0.8251,41652,25,0.3778,13245,0.5631,0.1809,0.5103,0.5519788918,0.058,0.9994199824,0,1814,2.0728744939,0.4760457599,0.4880952381,29
CUNY New York City College of Technology,NY,11201,11,0.2799,10641,15893,0.5614,0.4386,0.6751,46554,22,0.877,13158,0.5182,0.0715,0.1763,0.5029875068,0.078,0.9999586912,0,3667,2.0860655738,0.5518444231,1.2799817601,29
CUNY Queens College,NY,11367,11,0.3813,11046,15907,0.4606,0.5394,0.8187,63917,23,0.4879,13382,0.4669,0.0985,0.5582,0.6111983255,0.044,0.9688310236,0,3067,2.0546564075,0.4566877352,0.8539117538,29
CUNY York College,NY,11451,11,0.3144,10661,6910,0.3343,0.6657,0.6233,55168,23,0.7284,13171,0.4738,0.0756,0.3239,0.5114709852,0.067,0.9994840626,0,3433,2.0804566458,0.4122923454,0.5021781583,29
D'Youville College,NY,14201-1084,11,0.5083,7856,1533,0.2544,0.7456,0.8066,52394,23,0.8805,37316,0.3623,0.682,0.6107,0.6672582076,0.039,0.9673612184,0,19441,1,0.7312034277,0.3412017167,14
Daemen College,NY,14226-3592,21,0.519,6777,1679,0.2966,0.7034,0.7751,56233,23,0.6156,39348,0.372,0.7369,0.5915,0.7062556664,0.037,0.9581279546,0,17928,1,0.5461896136,0.4216661928,14
Dominican College of Blauvelt,NY,10962-1210,21,0.3836,8572,1361,0.3387,0.6613,0.6823,77440,21,0.7779,42833,0.4469,0.6972,0.449,0.5789971618,0.077,1.0022652831,0,20859,1,0.6453095718,0.5121729926,13
Elmira College,NY,14901,13,0.525,5570,778,0.3432,0.6568,0.8058,64913,21,0.8012,54265,0.3639,0.7766,0.6798,0.7651515152,0.056,0.9926977743,0,21330,1,0.6960169271,0.5225334957,13
Five Towns College,NY,11746-5871,21,0.2276,5252,617,0.6937,0.3063,0.7692,80517,21,0.3359,31341,0.5339,0.5644,0.489,0.5078369906,0.087,1.0054292707,0,18729,1,0.8324719383,2.2647730983,5
Fordham University,NY,10458,11,1,14236,9422,0.4326,0.5674,0.9107,77653,20,0.4588,69118,0.1858,0.4617,0.8302,0.8077170418,0.028,0.8391665372,1,36761,1,0.4321649816,0.7624250969,40
Hamilton College,NY,13323,22,0.8674,11804,1998,0.4735,0.5265,0.9439,78373,19,0.1639,69990,0.1606,0.3451,0.9292,0.926121372,0,0.8420105446,0,25440,1,0.3497444175,0.8993352327,34
