School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Out of State Cost,In State Cost,Average Net Price (Public),Average Net Price (Private),Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,90th Percentile Cumulative Loan Debt,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Median Earnings for Students Not Enrolled 10 Years,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio
Philander Smith College,AR,72202-3799,12,1.0,5808.0,996.0,0.3614,0.6386,0.6599,45434.0,21.0,,26302.0,13014.0,13014.0,,14141.0,0.81,0.82,40000.0,0.4243,0.4348785872,0.275,1.09364647017117,35583.0,0,14141.0,1.0,1.1241323103729308
Williams Baptist University,AR,72476,42,1.0,5468.0,512.0,0.5352,0.4648,0.4872,42485.0,20.0,0.5878,28664.0,18060.0,18060.0,,18444.0,0.4363,0.5929,27500.0,0.3862,0.669527897,0.096,0.99415492453679,36232.0,0,18444.0,1.0,0.7589975712077721
Southern Arkansas University Main Campus,AR,71753,33,0.6641,6850.0,3164.0,0.4444,0.5556,0.6685,42416.0,21.0,0.6506,22579.0,13580.0,9080.0,14270.0,,0.4866,0.7623,28897.0,0.4215,0.5218466612,0.193,1.03828438034687,39191.0,0,14270.0,1.4955947136563876,0.7373376540532265
University of Arkansas-Fort Smith,AR,72913-3649,13,0.672,6986.0,4883.0,0.402,0.598,0.6537,45327.0,22.0,,16391.0,13026.0,5754.0,9637.0,,0.4199,0.3504,28332.0,0.3323,0.4881729201,0.16,1.01360232845559,37613.0,0,9637.0,2.2638164754953074,0.7532502060457821
Academy of Art University,CA,94105,11,0.2086,8678.0,6570.0,0.4339,0.5661,0.727,74015.0,25.0,,41945.0,23412.0,23412.0,,34145.0,0.3584,0.4724,48687.0,0.4249,0.3820337047,0.069,1.0332197982339,40185.0,0,34145.0,1.0,1.21157148189623
Art Center College of Design,CA,91103,12,0.2543,7947.0,2034.0,0.4341,0.5659,0.812,74131.0,22.0,0.7084,64316.0,44932.0,44932.0,,47080.0,0.2829,0.4442,51638.0,0.7003,0.7521367521,0.011,0.92231831471106,66407.0,0,47080.0,1.0,0.7775987471200325
Azusa Pacific University,CA,91702-7000,21,0.4,9007.0,5128.0,0.3422,0.6578,0.7956,73950.0,26.0,0.6748,53117.0,40220.0,40220.0,,26293.0,0.3127,0.4386,37500.0,0.6526,0.7230290456,0.033,0.97578512615364,57796.0,0,26293.0,1.0,0.6488338293307495
Biola University,CA,90639-0001,21,0.6093,7676.0,4031.0,0.3672,0.6328,0.8285,75484.0,20.0,0.6985,55950.0,41976.0,41976.0,,31859.0,0.3041,0.563,33000.0,0.7342,0.8177110306,0.016,0.90138676415326,47704.0,0,31859.0,1.0,0.6917658896528593
California Baptist University,CA,92504-3297,11,0.4411,9815.0,8170.0,0.3756,0.6244,0.7824,66849.0,24.0,0.7828,46261.0,34882.0,34882.0,,24707.0,0.4528,0.6867,42800.0,0.5914,0.6477377655,0.046,0.99271328795642,52941.0,0,24707.0,1.0,0.808447139268242
California College of the Arts,CA,94107-2247,11,0.2392,9728.0,1455.0,0.3567,0.6433,0.8099,73343.0,21.0,0.8503,66348.0,51092.0,51092.0,,33876.0,0.2507,0.3467,42750.0,0.6194,0.7098283931,0.043,0.94657804290069,50388.0,0,33876.0,1.0,0.8484162895927602
California Lutheran University,CA,91360-2787,12,1.0,10402.0,3077.0,0.4368,0.5632,0.8355,81648.0,22.0,0.7142,58375.0,44382.0,44382.0,,26489.0,0.2972,0.5273,34000.0,0.7231,0.7700587084,0.017,0.92248898400654,59684.0,0,26489.0,1.0,0.5696669124053347
California Polytechnic State University-San Luis Obispo,CA,93407,23,0.6936,10598.0,20453.0,0.518,0.482,0.9407,74683.0,20.0,0.2842,28302.0,23833.0,9943.0,21595.0,,0.1775,0.2894,30000.0,0.819,0.8852824579,0.011,0.82061071102422,80643.0,0,21595.0,2.396962687317711,0.3720099698671924
California State University-Bakersfield,CA,93311-1099,11,0.4915,9640.0,9750.0,0.3772,0.6228,0.7722,53982.0,23.0,0.8071,16660.0,19299.0,7419.0,5318.0,,0.6187,0.3187,31000.0,0.4267,0.5685785536,0.053,0.99934854202737,52606.0,0,5318.0,2.6012939749292356,0.589286393187089
California State University-Stanislaus,CA,95382-0299,23,0.5115,9678.0,9686.0,0.3475,0.6525,0.8269,56979.0,23.0,0.8929,16549.0,19422.0,7542.0,6019.0,,0.5929,0.3243,31000.0,0.5837,0.6889748549,0.043,0.97057764002548,53964.0,0,6019.0,2.575178997613365,0.5744570454376992
California State University-San Bernardino,CA,92407-2393,12,0.4995,9808.0,17963.0,0.3928,0.6072,0.8595,59070.0,22.0,0.6856,18313.0,18765.0,6885.0,7342.0,,0.6238,0.3067,32239.0,0.559,0.5357593226,0.055,0.99519409208871,50960.0,0,7342.0,2.7254901960784315,0.6326334379905808
California State Polytechnic University-Pomona,CA,91768,21,0.4405,10766.0,26373.0,0.5286,0.4714,0.8978,68064.0,22.0,0.5459,21967.0,19276.0,7396.0,12734.0,,0.4848,0.3197,32932.0,0.7021,0.769726248,0.017,0.91733138349341,63732.0,0,12734.0,2.6062736614386153,0.5167262913450072
California State University-Chico,CA,95929-0150,12,0.5573,9692.0,16044.0,0.4689,0.5311,0.8415,61867.0,22.0,0.7233,23888.0,19686.0,7806.0,15017.0,,0.4514,0.4363,29596.0,0.6678,0.7279064999,0.033,0.93082562567931,56270.0,0,15017.0,2.5219062259800156,0.5259641016527457
California State University-Dominguez Hills,CA,90747-0005,13,0.4058,9761.0,15328.0,0.3753,0.6247,0.768,54533.0,25.0,0.77,14951.0,18826.0,6946.0,4215.0,,0.6483,0.291,32302.0,0.447,0.5483447189,0.026,0.99592129518269,47340.0,0,4215.0,2.7103368845378637,0.6823405154203633
California State University-Fresno,CA,93740,11,0.5538,9653.0,21156.0,0.4095,0.5905,0.826,53295.0,22.0,0.5794,16494.0,18469.0,6589.0,5464.0,,0.5944,0.2707,31000.0,0.5515,0.677498583,0.047,0.97648364046777,52201.0,0,5464.0,2.8030050083472453,0.5938583552039233
California State University-Fullerton,CA,92831-3599,21,0.4788,10392.0,35087.0,0.4311,0.5689,0.8871,73036.0,22.0,0.5269,17568.0,18804.0,6924.0,7991.0,,0.4855,0.2631,31000.0,0.6837,0.7291639747,0.027,0.93681888880875,54586.0,0,7991.0,2.7157712305026,0.567911186018393
California State University-East Bay,CA,94542,21,0.4538,10382.0,13104.0,0.3993,0.6007,0.7585,78750.0,24.0,0.7618,21495.0,18880.0,7000.0,11116.0,,0.4899,0.3326,31000.0,0.4891,0.6542381974,0.052,0.96729828842957,60920.0,0,11116.0,2.697142857142857,0.5088640840446487
California State University-Long Beach,CA,90840-0115,11,0.4785,10346.0,32900.0,0.4369,0.5631,0.871,66954.0,22.0,0.3927,19239.0,18714.0,6834.0,9622.0,,0.518,0.3005,31000.0,0.7143,0.7425225913,0.016,0.93754676318333,57123.0,0,9622.0,2.7383669885864794,0.5426885842830383
California State University-Los Angeles,CA,90032-8506,11,0.3966,10216.0,22743.0,0.4211,0.5789,0.8084,52850.0,23.0,0.4781,14728.0,18648.0,6768.0,2768.0,,0.6804,0.2561,28892.0,0.5012,0.6072386059,0.014,0.97250528828692,51997.0,0,2768.0,2.75531914893617,0.5556474411985307
California State University-Northridge,CA,91330,11,0.4396,10414.0,34713.0,0.4527,0.5473,0.8126,64055.0,22.0,0.5934,19301.0,18857.0,6977.0,8414.0,,0.5728,0.2781,29250.0,0.547,0.6553634752,0.02,0.95932095522623,53360.0,0,8414.0,2.702737566289236,0.5481634182908546
California State University-Sacramento,CA,95819-2694,11,0.4812,9863.0,28718.0,0.4454,0.5546,0.8341,65686.0,23.0,0.8226,20173.0,19248.0,7368.0,9979.0,,0.5271,0.3226,31000.0,0.5305,0.697192169,0.046,0.95981233862677,56814.0,0,9979.0,2.6123778501628663,0.545640159115711
University of California-Berkeley,CA,94720,12,0.6757,17763.0,31345.0,0.4604,0.5396,0.9694,77601.0,21.0,0.1625,37852.0,44007.0,14253.0,15329.0,,0.2668,0.2176,27000.0,0.9204,0.8017990547,0.017,0.7988755421447,80364.0,0,15329.0,3.087560513576089,0.33597133044646854
University of California-Davis,CA,95616-8678,23,0.8472,15374.0,30962.0,0.3928,0.6072,0.9239,76621.0,21.0,0.3887,34752.0,44249.0,14495.0,14669.0,,0.3666,0.3027,26500.0,0.8656,0.8385108791,0.019,0.81377566600467,69766.0,0,14669.0,3.0527078302863058,0.3798411833844566
University of California-Irvine,CA,92697,11,0.8182,16113.0,30367.0,0.4786,0.5214,0.9387,78085.0,20.0,0.2654,33325.0,43481.0,13727.0,14783.0,,0.3999,0.3202,28458.0,0.839,0.7829307568,0.013,0.85499556458598,71961.0,0,14783.0,3.167552997741677,0.39546420978029767
University of California-Los Angeles,CA,90095-1405,11,0.7176,18871.0,31537.0,0.416,0.584,0.965,72896.0,21.0,0.1232,34366.0,42994.0,13240.0,14279.0,,0.3188,0.2929,29235.0,0.9101,0.8094726956,0.01,0.84323406071542,73744.0,0,14279.0,3.2472809667673714,0.39643903232805383
University of California-Riverside,CA,92521,11,0.8728,14100.0,22015.0,0.4606,0.5394,0.8956,68292.0,20.0,0.5652,33368.0,43607.0,13853.0,12871.0,,0.5284,0.4496,30056.0,0.7527,0.6923594749,0.021,0.90494932893365,58880.0,0,12871.0,3.1478380134266946,0.5104619565217391
University of California-San Diego,CA,92093,11,0.8472,16447.0,30789.0,0.4998,0.5002,0.9343,76397.0,20.0,0.3148,32434.0,44169.0,14415.0,14232.0,,0.3652,0.3197,29000.0,0.8668,0.8481030379,0.015,0.79337490059365,74771.0,0,14232.0,3.064099895941727,0.38785090476254164
